                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.2605,                 4.2361,                 1.7073,                0.00602,                0.05843,                0.00557,                0.00254,                 2.2613,                 4.0069,                 1.7648,                 0.0964,                 0.0004,                 0.0004
                      1,                 2.3234,                 4.2098,                 1.7572,                0.00643,                0.07567,                0.00839,                0.00349,                 2.1285,                 3.9836,                 1.6881,               0.091897,             0.00089703,             0.00089703
                      2,                 1.9941,                 4.1341,                 1.5678,                0.00746,                0.20459,                 0.0152,                0.00708,                 1.7696,                 3.8186,                 1.3851,               0.087391,              0.0013908,              0.0013908
                      3,                 1.4741,                   3.93,                 1.2749,                0.00744,                0.31357,                0.02668,                0.01325,                 1.4252,                  3.734,                 1.1812,               0.082881,              0.0018812,              0.0018812
                      4,                 1.3065,                 3.7066,                 1.2061,                0.00675,                0.27555,                0.03756,                0.02468,                 1.2349,                 3.6613,                 1.0859,               0.078368,              0.0023683,              0.0023683
                      5,                 1.2538,                 3.3842,                 1.1584,                0.00782,                0.33699,                0.05659,                0.03545,                 1.2227,                 3.5972,                 1.0563,               0.073852,              0.0028522,              0.0028522
                      6,                  1.223,                 2.8442,                 1.1395,                0.00891,                0.34163,                0.11603,                0.07394,                 1.1878,                 3.3691,                 1.0631,               0.069333,              0.0033327,              0.0033327
                      7,                 1.1662,                 2.4001,                 1.0832,                0.00786,                0.33081,                0.12209,                0.08167,                 1.1306,                 3.2627,                 1.0476,                0.06481,              0.0038099,              0.0038099
                      8,                 1.2025,                   2.23,                 1.0985,                 0.0084,                 0.3836,                0.15742,                0.10827,                 1.1418,                 3.2023,                 1.0352,               0.060284,              0.0042838,              0.0042838
                      9,                 1.2084,                  2.242,                 1.1376,                0.00924,                0.41271,                0.17627,                0.12611,                 1.1013,                 3.0604,                 1.0183,               0.055754,              0.0047545,              0.0047545
                     10,                 1.1672,                 2.0726,                 1.1459,                0.00942,                0.45792,                0.18373,                0.13787,                 1.0581,                 3.0934,                 1.0016,               0.051222,              0.0052218,              0.0052218
                     11,                 1.2144,                 1.9145,                 1.0994,                0.01044,                 0.5199,                0.19138,                0.13723,                 1.1595,                 2.9457,                 1.0353,               0.046686,              0.0056858,              0.0056858
                     12,                 1.2435,                 1.6971,                 1.1291,                 0.7041,                 0.3125,                0.20223,                0.14792,                 1.1268,                 2.8559,                 1.0256,               0.042147,              0.0061466,              0.0061466
                     13,                 1.2167,                 1.6795,                 1.1029,                0.78729,                0.08373,                0.21768,                0.15112,                 1.1616,                  2.793,                 1.0287,               0.037604,               0.006604,               0.006604
                     14,                 1.1378,                 1.5425,                 1.0711,                0.82869,                0.05706,                0.19997,                0.13838,                 1.1743,                 2.9738,                 1.0659,               0.033058,              0.0070581,              0.0070581
                     15,                 1.1965,                 1.6302,                 1.0934,                 0.0146,                0.45418,                0.15965,                0.10836,                  1.258,                 3.2936,                 1.1774,               0.028509,              0.0075089,              0.0075089
                     16,                 1.1996,                 1.4315,                 1.1014,                0.80818,                0.07816,                0.27277,                0.17543,                 1.1685,                 2.6252,                 1.0893,               0.023956,              0.0079565,              0.0079565
                     17,                 1.2156,                  1.359,                 1.0915,                0.76347,                0.05686,                0.28639,                0.16035,                 1.3141,                  2.731,                  1.153,               0.019401,              0.0084007,              0.0084007
                     18,                 1.2286,                 1.4222,                 1.1121,                0.76858,                0.10191,                0.29596,                0.18881,                  1.154,                 2.5646,                 1.0849,               0.014842,              0.0088416,              0.0088416
                     19,                 1.1527,                 1.4168,                 1.0851,                0.60886,                0.16769,                0.24684,                 0.1376,                  1.388,                 3.0895,                 1.2695,               0.010279,              0.0092793,              0.0092793
                     20,                 1.2471,                 1.4332,                 1.0814,                0.03668,                0.52336,                0.22529,                0.10933,                 1.6885,                 3.1991,                 1.4318,                0.00934,                0.00934,                0.00934
                     21,                 1.2549,                 1.4198,                  1.127,                0.47725,                0.21368,                0.21168,                0.11082,                 1.5075,                  3.399,                 1.3911,                0.00934,                0.00934,                0.00934
                     22,                 1.1873,                 1.3182,                  1.088,                0.60896,                  0.238,                0.33618,                0.17847,                 1.4436,                 2.4436,                  1.234,               0.009307,               0.009307,               0.009307
                     23,                 1.1011,                 1.2903,                 1.0579,                0.60306,                 0.3466,                0.41496,                0.26044,                 1.1774,                 2.0297,                 1.0898,               0.009274,               0.009274,               0.009274
                     24,                 1.1655,                 1.3573,                 1.0705,                0.60136,                0.47661,                0.46792,                0.29082,                 1.1861,                 1.6845,                  1.079,               0.009241,               0.009241,               0.009241
                     25,                 1.1602,                 1.3241,                 1.0993,                0.57952,                0.44787,                0.44242,                0.27711,                 1.0992,                 1.6281,                 1.0623,               0.009208,               0.009208,               0.009208
                     26,                 1.1893,                 1.2498,                 1.0622,                0.61391,                0.57008,                0.51042,                0.31621,                 1.1891,                 1.2226,                 1.0725,               0.009175,               0.009175,               0.009175
                     27,                 1.2574,                  1.297,                 1.1321,                0.61587,                0.56827,                0.50501,                0.32107,                 1.1345,                 1.2736,                 1.0616,               0.009142,               0.009142,               0.009142
                     28,                 1.1885,                 1.1957,                  1.058,                0.65762,                0.52943,                0.51787,                0.32602,                 1.1682,                 1.2846,                 1.0714,               0.009109,               0.009109,               0.009109
                     29,                 1.2115,                 1.2989,                 1.1225,                0.64971,                0.54312,                0.54373,                0.35278,                 1.1186,                 1.3047,                 1.0491,               0.009076,               0.009076,               0.009076
                     30,                 1.1145,                 1.1958,                 1.0734,                0.57165,                0.49667,                0.46687,                 0.2973,                 1.1137,                 1.3311,                 1.0708,               0.009043,               0.009043,               0.009043
                     31,                 1.0893,                 1.1665,                 1.0728,                  0.652,                0.52092,                0.54324,                0.33874,                 1.1136,                 1.3835,                 1.0458,                0.00901,                0.00901,                0.00901
                     32,                 1.1245,                 1.2306,                 1.0955,                 0.6932,                0.60282,                0.59754,                0.37945,                 1.0338,                 1.1274,                 1.0092,               0.008977,               0.008977,               0.008977
                     33,                 1.1326,                 1.2237,                  1.082,                0.68767,                0.59545,                0.56904,                0.35092,                 1.0305,                 1.2467,                 1.0122,               0.008944,               0.008944,               0.008944
                     34,                 1.0883,                 1.1853,                 1.0477,                0.64915,                0.54259,                 0.5782,                  0.366,                 1.0249,                 1.4868,                 1.0141,               0.008911,               0.008911,               0.008911
                     35,                 1.0906,                 1.1538,                 1.0414,                0.71791,                0.61218,                0.62465,                0.40243,                 1.0307,                0.99959,                 1.0082,               0.008878,               0.008878,               0.008878
                     36,                 1.1103,                 1.1398,                 1.0671,                 0.6955,                0.65069,                0.62863,                0.40901,                0.99611,                 1.0103,                0.97477,               0.008845,               0.008845,               0.008845
                     37,                 1.1372,                 1.1507,                  1.062,                0.66946,                0.63097,                0.58032,                0.38072,                0.98196,                 1.0179,                 0.9861,               0.008812,               0.008812,               0.008812
                     38,                 1.0331,                 1.0862,                 1.0345,                0.70271,                0.60611,                0.63163,                0.42699,                0.95375,                 1.0198,                0.97014,               0.008779,               0.008779,               0.008779
                     39,                 1.0695,                 1.1393,                 1.0276,                0.78493,                0.58098,                0.64698,                0.42373,                0.96196,                 1.0156,                0.96687,               0.008746,               0.008746,               0.008746
                     40,                 1.0756,                 1.1898,                 1.0735,                0.73302,                0.65935,                0.67184,                0.43878,                0.99299,                 1.0295,                0.97455,               0.008713,               0.008713,               0.008713
                     41,                 1.0546,                 1.1207,                 1.0669,                0.75656,                0.67216,                0.67421,                0.44309,                0.97349,                 1.0005,                0.97038,                0.00868,                0.00868,                0.00868
                     42,                 1.0702,                 1.1144,                 1.0362,                0.71829,                 0.6294,                0.66573,                 0.4372,                 0.9782,                 1.0934,                0.97686,               0.008647,               0.008647,               0.008647
                     43,                 1.1049,                 1.0964,                 1.0513,                0.79787,                0.62469,                0.68325,                0.45209,                 0.9577,                0.90512,                0.96913,               0.008614,               0.008614,               0.008614
                     44,                 1.0339,                 1.0154,                 1.0083,                0.72944,                0.66639,                0.66972,                0.43832,                 1.0392,                0.96766,                0.99894,               0.008581,               0.008581,               0.008581
                     45,                 1.1045,                 1.0793,                 1.0556,                0.81803,                 0.5995,                0.68817,                0.46249,                0.92252,                0.96392,                0.95674,               0.008548,               0.008548,               0.008548
                     46,                 1.0997,                 1.0419,                 1.0632,                0.82248,                 0.6395,                0.68843,                0.45418,                 1.0434,                0.92423,                  1.001,               0.008515,               0.008515,               0.008515
                     47,                 1.0456,                 1.0232,                 1.0401,                0.76995,                0.58898,                0.65854,                0.44318,                0.92535,                 0.9947,                0.95766,               0.008482,               0.008482,               0.008482
                     48,                 1.0167,                 1.0377,                 1.0219,                 0.7571,                0.66615,                0.70377,                0.47259,                0.94932,                0.95555,                0.97809,               0.008449,               0.008449,               0.008449
